P740, 40694,68
P750, 20171,33
P760, 54023,91
P770, 59253,59
P780, 41525,19
P790, 21225,72
P800, 59384,28
P810, 42037,46
P820, 54607,68
P830, 22295,54
P840, 22567,77
P850, 42790,50
P860, 59534,29
P870, 59619,76
P880, 59649,34
P890, 55449,76
P900, 24147,22
P910, 55694,58
P920, 55825,84
P930, 55886,66
P940, 25228,83
P950, 25479,12
P960, 44768,61
P970, 59880,66
P980, 56333,81
P990, 56402,04
P0, 45468,91
P10, 56588,53
P20, 594,38
P30, 879,60
P40, 56687,00
P50, 46150,70
P60, 27985,65
P70, 2027,71
P80, 28379,38
P90, 46610,33
P100, 46708,48
P110, 3117,25
P120, 3347,71
P130, 47011,03
P140, 3807,05
P150, 56996,16
P160, 47252,38
P170, 4599,21
P180, 30162,31
P190, 30418,77
P200, 47619,42
P210, 5704,10
P220, 5987,60
P230, 47898,67
P240, 57216,56
P250, 31579,43
P260, 57229,73
P270, 48311,01
P280, 57311,13
P290, 7896,71
P300, 48644,76
P310, 32802,19
P320, 48938,05
P330, 49075,36
P340, 33440,91
P350, 57568,03
P360, 49479,30
P370, 10087,00
P380, 57670,80
P390, 49976,38
P400, 10871,33
P410, 34695,34
P420, 11393,47
P430, 50304,97
P440, 58012,61
P450, 12161,07
P460, 35505,16
P470, 35676,89
P480, 58228,16
P490, 58265,61
P500, 51079,48
P510, 13734,48
P520, 36554,73
P530, 14254,37
P540, 58433,64
P550, 58506,14
P560, 15014,27
P570, 51738,43
P580, 15529,61
P590, 15819,33
P600, 16100,29
P610, 38090,99
P620, 38314,86
P630, 58694,36
P640, 52493,34
P650, 17536,14
P660, 39162,17
P670, 58861,72
P680, 18319,25
P690, 18552,67
P700, 18787,09
P710, 19042,23
P720, 19311,83
P730, 59124,16
P740, 40694,68
P750, 20171,33
P760, 54023,91
P770, 59253,59
P780, 41525,19
P790, 21225,72
P800, 59384,28
P810, 42037,46
P820, 54607,68
P830, 22295,54
P840, 22567,77
P850, 42790,50
P860, 59534,29
P870, 59619,76
P880, 59649,34
P890, 55449,76
P900, 24147,22
P910, 55694,58
P920, 55825,84
P930, 55886,66
P940, 25228,83
P950, 25479,12
P960, 44768,61
P970, 59880,66
P980, 56333,81
P990, 56402,04
P0, 51958,00
P10, 58518,39
P20, 22858,63
P30, 14419,22
P40, 58536,54
P50, 55304,35
P60, 30597,89
P70, 354,69
P80, 34095,98
P90, 48043,53
P100, 45723,86
P110, 23247,44
P120, 14825,50
P130, 53894,89
P140, 5634,30
P150, 58597,51
P160, 52234,81
P170, 15019,81
P180, 27375,83
P190, 37669,01
P200, 53964,19
P210, 1049,55
P220, 10739,69
P230, 55473,00
P240, 58643,44
P250, 40807,28
P260, 57803,26
P270, 54060,65
P280, 56779,19
P290, 19851,39
P300, 55574,83
P310, 43704,86
P320, 55609,50
P330, 52524,13
P340, 41109,95
P350, 58720,19
P360, 52593,21
P370, 15912,85
P380, 59352,03
P390, 55733,61
P400, 1997,68
P410, 38366,84
P420, 7010,41
P430, 55779,25
P440, 58817,13
P450, 7148,88
P460, 41413,77
P470, 35366,46
P480, 59437,67
P490, 57044,33
P500, 55886,13
P510, 24775,06
P520, 28616,93
P530, 20817,46
P540, 59468,43
P550, 59476,69
P560, 2789,70
P570, 49032,75
P580, 12380,42
P590, 21056,94
P600, 16899,24
P610, 44437,03
P620, 41832,68
P630, 58955,00
P640, 56042,64
P650, 8100,63
P660, 39081,69
P670, 59831,94
P680, 25444,77
P690, 3434,91
P700, 3483,37
P710, 17380,78
P720, 8421,39
P730, 59049,37
P740, 39331,34
P750, 17566,39
P760, 51506,98
P770, 59856,64
P780, 29563,86
P790, 17736,04
P800, 59578,28
P810, 42395,34
P820, 53394,33
P830, 4130,35
P840, 22113,80
P850, 42503,36
P860, 57458,34
P870, 0,00
P880, 0,00
P890, 51760,65
P900, 26316,17
P910, 53561,60
P920, 51826,91
P930, 53583,55
P940, 9460,46
P950, 18425,12
P960, 36946,04
P970, 59192,36
P980, 51919,15
P990, 53659,88
P0, 51958,00
P10, 58518,39
P20, 22858,63
P30, 14419,22
P40, 58536,54
P50, 55304,35
P60, 30597,89
P70, 354,69
P80, 34095,98
P90, 48043,53
P100, 45723,86
P110, 23247,44
P120, 14825,50
P130, 53894,89
P140, 5634,30
P150, 58597,51
P160, 52234,81
P170, 15019,81
P180, 27375,83
P190, 37669,01
P200, 53964,19
P210, 1049,55
P220, 10739,69
P230, 55473,00
P240, 58643,44
P250, 40807,28
P260, 57803,26
P270, 54060,65
P280, 56779,19
P290, 19851,39
P300, 55574,83
P310, 43704,86
P320, 55609,50
P330, 52524,13
P340, 41109,95
P350, 58720,19
P360, 52593,21
P370, 15912,85
P380, 59352,03
P390, 55733,61
P400, 1997,68
P410, 38366,84
P420, 7010,41
P430, 55779,25
P440, 58817,13
P450, 7148,88
P460, 41413,77
P470, 35366,46
P480, 59437,67
P490, 57044,33
P500, 55886,13
P510, 24775,06
P520, 28616,93
P530, 20817,46
P540, 59468,43
P550, 59476,69
P560, 2789,70
P570, 49032,75
P580, 12380,42
P590, 21056,94
P600, 16899,24
P610, 44437,03
P620, 41832,68
P630, 58955,00
P640, 56042,64
P650, 8100,63
P660, 39081,69
P670, 59831,94
P680, 25444,77
P690, 3434,91
P700, 3483,37
P710, 17380,78
P720, 8421,39
P730, 59049,37
P740, 39331,34
P750, 17566,39
P760, 51506,98
P770, 59856,64
P780, 29563,86
P790, 17736,04
P800, 59578,28
P810, 42395,34
P820, 53394,33
P830, 4130,35
P840, 22113,80
P850, 42503,36
P860, 57458,34
P870, 0,00
P880, 0,00
P890, 51760,65
P900, 26316,17
P910, 53561,60
P920, 51826,91
P930, 53583,55
P940, 9460,46
P950, 18425,12
P960, 36946,04
P970, 59192,36
P980, 51919,15
P990, 53659,88
P0, 51958,00
P10, 58518,39
P20, 22858,63
P30, 14419,22
P40, 58536,54
P50, 55304,35
P60, 30597,89
P70, 354,69
P80, 34095,98
P90, 48043,53
P100, 45723,86
P110, 23247,44
P120, 14825,50
P130, 53894,89
P140, 5634,30
P150, 58597,51
P160, 52234,81
P170, 15019,81
P180, 27375,83
P190, 37669,01
P200, 53964,19
P210, 1049,55
P220, 10739,69
P230, 55473,00
P240, 58643,44
P250, 40807,28
P260, 57803,26
P270, 54060,65
P280, 56779,19
P290, 19851,39
P300, 55574,83
P310, 43704,86
P320, 55609,50
P330, 52524,13
P340, 41109,95
P350, 58720,19
P360, 52593,21
P370, 15912,85
P380, 59352,03
P390, 55733,61
P400, 1997,68
P410, 38366,84
P420, 7010,41
P430, 55779,25
P440, 58817,13
P450, 7148,88
P460, 41413,77
P470, 35366,46
P480, 59437,67
P490, 57044,33
P500, 55886,13
P510, 24775,06
P520, 28616,93
P530, 20817,46
P540, 59468,43
P550, 59476,69
P560, 2789,70
P570, 49032,75
P580, 12380,42
P590, 21056,94
P600, 16899,24
P610, 44437,03
P620, 41832,68
P630, 58955,00
P640, 56042,64
P650, 8100,63
P660, 39081,69
P670, 59831,94
P680, 25444,77
P690, 3434,91
P700, 3483,37
P710, 17380,78
P720, 8421,39
P730, 59049,37
P740, 39331,34
P750, 17566,39
P760, 51506,98
P770, 59856,64
P780, 29563,86
P790, 17736,04
P800, 59578,28
P810, 42395,34
P820, 53394,33
P830, 4130,35
P840, 22113,80
P850, 42503,36
P860, 57458,34
P870, 0,00
P880, 0,00
P890, 51760,65
P900, 26316,17
P910, 53561,60
P920, 51826,91
P930, 53583,55
P940, 9460,46
P950, 18425,12
P960, 36946,04
P970, 59192,36
P980, 51919,15
P990, 53659,88
P0, 51958,00
P10, 58518,39
P20, 22858,63
P30, 14419,22
P40, 58536,54
P50, 55304,35
P60, 30597,89
P70, 354,69
P80, 34095,98
P90, 48043,53
P100, 45723,86
P110, 23247,44
P120, 14825,50
P130, 53894,89
P140, 5634,30
P150, 58597,51
P160, 52234,81
P170, 15019,81
P180, 27375,83
P190, 37669,01
P200, 53964,19
P210, 1049,55
P220, 10739,69
P230, 55473,00
P240, 58643,44
P250, 40807,28
P260, 57803,26
P270, 54060,65
P280, 56779,19
P290, 19851,39
P300, 55574,83
P310, 43704,86
P320, 55609,50
P330, 52524,13
P340, 41109,95
P350, 58720,19
P360, 52593,21
P370, 15912,85
P380, 59352,03
P390, 55733,61
P400, 1997,68
P410, 38366,84
P420, 7010,41
P430, 55779,25
P440, 58817,13
P450, 7148,88
P460, 41413,77
P470, 35366,46
P480, 59437,67
P490, 57044,33
P500, 55886,13
P510, 24775,06
P520, 28616,93
P530, 20817,46
P540, 59468,43
P550, 59476,69
P560, 2789,70
P570, 49032,75
P580, 12380,42
P590, 21056,94
P600, 16899,24
P610, 44437,03
P620, 41832,68
P630, 58955,00
P640, 56042,64
P650, 8100,63
P660, 39081,69
P670, 59831,94
P680, 25444,77
P690, 3434,91
P700, 3483,37
P710, 17380,78
P720, 8421,39
P730, 59049,37
P740, 39331,34
P750, 17566,39
P760, 51506,98
P770, 59856,64
P780, 29563,86
P790, 17736,04
P800, 59578,28
P810, 42395,34
P820, 53394,33
P830, 4130,35
P840, 22113,80
P850, 42503,36
P860, 57458,34
P870, 0,00
P880, 0,00
P890, 51760,65
P900, 26316,17
P910, 53561,60
P920, 51826,91
P930, 53583,55
P940, 9460,46
P950, 18425,12
P960, 36946,04
P970, 59192,36
P980, 51919,15
P990, 53659,88
P0, 51958,00
P10, 58518,39
P20, 22858,63
P30, 14419,22
P40, 58536,54
P50, 55304,35
P60, 30597,89
P70, 354,69
P80, 34095,98
P90, 48043,53
P100, 45723,86
P110, 23247,44
P120, 14825,50
P130, 53894,89
P140, 5634,30
P150, 58597,51
P160, 52234,81
P170, 15019,81
P180, 27375,83
P190, 37669,01
P200, 53964,19
P210, 1049,55
P220, 10739,69
P230, 55473,00
P240, 58643,44
P250, 40807,28
P260, 57803,26
P270, 54060,65
P280, 56779,19
P290, 19851,39
P300, 55574,83
P310, 43704,86
P320, 55609,50
P330, 52524,13
P340, 41109,95
P350, 58720,19
P360, 52593,21
P370, 15912,85
P380, 59352,03
P390, 55733,61
P400, 1997,68
P410, 38366,84
P420, 7010,41
P430, 55779,25
P440, 58817,13
P450, 7148,88
P460, 41413,77
P470, 35366,46
P480, 59437,67
P490, 57044,33
P500, 55886,13
P510, 24775,06
P520, 28616,93
P530, 20817,46
P540, 59468,43
P550, 59476,69
P560, 2789,70
P570, 49032,75
P580, 12380,42
P590, 21056,94
P600, 16899,24
P610, 44437,03
P620, 41832,68
P630, 58955,00
P640, 56042,64
P650, 8100,63
P660, 39081,69
P670, 59831,94
P680, 25444,77
P690, 3434,91
P700, 3483,37
P710, 17380,78
P720, 8421,39
P730, 59049,37
P740, 39331,34
P750, 17566,39
P760, 51506,98
P770, 59856,64
P780, 29563,86
P790, 17736,04
P800, 59578,28
P810, 42395,34
P820, 53394,33
P830, 4130,35
P840, 22113,80
P850, 42503,36
P860, 57458,34
P870, 0,00
P880, 0,00
P890, 51760,65
P900, 26316,17
P910, 53561,60
P920, 51826,91
P930, 53583,55
P940, 9460,46
P950, 18425,12
P960, 36946,04
P970, 59192,36
P980, 51919,15
P990, 53659,88
